Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
272,Cedi Osman\osmande01,CLE,2907143,"$8,750,000 ","$8,050,000 ","$7,350,000 ","$6,650,000 ",,MLE,"$27,057,143 "
273,Donte DiVincenzo\divindo01,MIL,2905800,"$3,044,160 ","$4,675,830 ",,,,1st Round Pick,"$5,949,960 "
274,Bryn Forbes\forbebr01,SAS,2875000,,,,,,Early Bird Rights,"$2,875,000 "
275,Andrew Nicholson\nichoan01,POR,2844429,"$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ",,,"$14,222,145 "
276,Goga Bitadze\bitadgo01,IND,2816760,"$2,957,520 ","$3,098,400 ","$4,765,339 ",,,1st Round Pick,"$5,774,280 "
277,T.J. Leaf\leaftj01,IND,2813280,"$4,326,825 ",,,,,1st Round Pick,"$7,140,105 "
278,Lonnie Walker\walkelo01,SAS,2760480,"$2,892,000 ","$4,447,896 ",,,,1st Round Pick,"$5,652,480 "
279,Alex Caruso\carusal01,LAL,2750000,"$2,750,000 ",,,,,Room Exception,"$5,500,000 "
280,Malik Beasley\beaslma01,MIN,2731714,,,,,,1st Round pick,"$2,731,714 "
281,Luka Šamani?\samanlu01,SAS,2689920,"$2,824,320 ","$2,959,080 ","$4,556,983 ",,,1st Round Pick,"$5,514,240 "
282,John Collins\collijo01,ATL,2686560,"$4,137,302 ",,,,,1st Round Pick,"$6,823,862 "
283,Kevin Huerter\huertke01,ATL,2636280,"$2,761,920 ","$4,253,357 ",,,,1st Round Pick,"$5,398,200 "
284,Caris LeVert\leverca01,BRK,2625718,"$16,203,704 ","$17,500,000 ","$18,796,296 ",,,1st Round pick,"$55,125,718 "
285,Marko Guduric\gudurma01,MEM,2625000,"$2,750,000 ",,,,,Bi-annual Exception,"$5,375,000 "
286,DeAndre' Bembry\bembrde01,ATL,2603982,,,,,,1st Round pick,"$2,603,982 "
287,Matisse Thybulle\thybuma01,PHI,2582160,"$2,711,280 ","$2,840,160 ","$4,379,527 ",,,1st Round Pick,"$5,293,440 "
288,Harry Giles\gilesha01,SAC,2578800,,,,,,1st Round Pick,"$2,578,800 "
289,Jeff Green\greenje02,UTA,2564753,,,,,,,"$2,564,753 "
290,Pau Gasol\gasolpa01,POR,2564753,,,,,,,"$2,564,753 "
291,Wesley Matthews\matthwe02,MIL,2564753,"$2,692,991 ",,,,,Minimum Salary,"$2,564,753 "
292,Kyle Korver\korveky01,MIL,2564753,,,,,,Minimum Salary,"$2,564,753 "
293,Udonis Haslem\hasleud01,MIA,2564753,,,,,,Minimum Salary,"$2,564,753 "
294,Jared Dudley\dudleja01,LAL,2564753,,,,,,Minimum Salary,"$2,564,753 "
295,Rajon Rondo\rondora01,LAL,2564753,"$2,619,605 ",,,,,Minimum Salary,"$2,564,753 "
296,Dwight Howard\howardw01,LAL,2564753,,,,,,Minimum Salary,"$2,564,753 "
297,Thabo Sefolosha\sefolth01,HOU,2564753,,,,,,Minimum Salary,"$2,564,753 "
298,Tyson Chandler\chandty01,HOU,2564753,,,,,,Minimum Salary,"$2,564,753 "
299,Gerald Green\greenge01,DEN,2564753,,,,,,,"$2,564,753 "
300,J.J. Barea\bareajo01,DAL,2564753,,,,,,Minimum Salary,"$2,564,753 "
301,Wilson Chandler\chandwi01,BRK,2564753,,,,,,Minimum Salary,"$2,564,753 "
302,Nenê Hilário\hilarne01,ATL,2564753,,,,,,,"$2,564,753 "
303,Vince Carter\cartevi01,ATL,2564753,,,,,,Minimum Salary,"$2,564,753 "
304,Josh Okogie\okogijo01,MIN,2530680,"$2,651,040 ","$4,087,904 ",,,,1st Round Pick,"$5,181,720 "
305,Vincent Poirier\poirivi01,BOS,2505793,"$2,619,207 ",,,,,Minimum Salary,"$5,125,000 "
306,Rondae Hollis-Jefferson\holliro01,TOR,2500000,,,,,,MLE,"$2,500,000 "
307,Brandon Clarke\clarkbr01,MEM,2478840,"$2,602,920 ","$2,726,880 ","$4,343,920 ",,,1st Round Pick,"$5,081,760 "
308,Terrance Ferguson\fergute01,OKC,2475840,"$3,944,013 ",,,,,1st Round Pick,"$6,419,853 "
309,Grayson Allen\allengr01,MEM,2429400,"$2,545,320 ","$4,054,695 ",,,,1st Round Pick,"$4,974,720 "
310,Anthony Tolliver\tollian01,SAC,2419852,,,,,,,"$2,419,852 "
311,Grant Williams\willigr01,BOS,2379840,"$2,498,760 ","$2,617,800 ","$4,306,281 ",,,1st Round Pick,"$4,878,600 "
312,Jarrett Allen\allenja01,BRK,2376840,"$3,909,902 ",,,,,1st Round Pick,"$6,286,742 "
313,Pascal Siakam\siakapa01,TOR,2351839,"$29,000,000 ","$31,320,000 ","$33,640,000 ","$35,960,000 ",,1st Round pick,"$132,271,839 "
314,Skal Labissière\labissk01,ATL,2338847,,,,,,1st Round pick,"$2,338,847 "
315,Chandler Hutchison\hutchch01,CHI,2332320,"$2,443,440 ","$4,019,459 ",,,,1st Round Pick,"$4,775,760 "
316,Patrick Patterson\pattepa01,LAC,2331593,,,,,,Minimum Salary,"$2,331,593 "
317,Dejounte Murray\murrade01,SAS,2321735,"$14,285,714 ","$15,428,571 ","$16,571,429 ","$17,714,286 ",,1st Round pick,"$66,321,735 "
318,Alec Burks\burksal01,PHI,2320044,,,,,,Minimum Salary,"$2,320,044 "
319,Isaiah Thomas\thomais02,LAC,2320044,,,,,,,"$2,320,044 "
320,Damian Jones\jonesda03,ATL,2305057,,,,,,1st Round pick,"$2,305,057 "
321,Darius Bazley\bazleda01,OKC,2284800,"$2,399,160 ","$2,513,040 ","$4,264,629 ",,,1st Round Pick,"$4,683,960 "
322,OG Anunoby\anunoog01,TOR,2281800,"$3,872,215 ",,,,,1st Round Pick,"$6,154,015 "
323,Ante Žiži?\zizican01,CLE,2281800,,,,,,1st Round Pick,"$2,281,800 "
324,Monta Ellis\ellismo01,IND,2245400,"$2,245,400 ","$2,245,400 ",,,,,"$6,736,200 "
325,Markieff Morris\morrima02,DET,2241808,,,,,,,"$2,241,808 "
326,Aaron Holiday\holidaa01,IND,2239200,"$2,345,640 ","$3,980,551 ",,,,1st Round Pick,"$4,584,840 "
327,Luke Kornet\kornelu01,CHI,2195122,"$2,304,878 ",,,,,Room Exception,"$4,500,000 "
328,Ty Jerome\jeromty01,PHO,2193480,"$2,303,040 ","$2,412,840 ","$4,220,057 ",,,1st Round Pick,"$4,496,520 "
329,Willie Cauley-Stein\caulewi01,DAL,2177483,"$2,286,357 ",,,,,MLE,"$2,177,483 "
330,Austin Rivers\riverau01,HOU,2174318,"$2,369,663 ",,,,,Minimum Salary,"$2,174,318 "
331,Carmelo Anthony\anthoca01,POR,2159029,,,,,,Minimum Salary,"$2,159,029 "
332,Anfernee Simons\simonan01,POR,2149560,"$2,252,040 ","$3,938,818 ",,,,1st Round Pick,"$4,401,600 "
333,Matt Barnes\barnema02,SAC,2133541,,,,,,,"$2,133,541 "
334,Nassir Little\littlna01,POR,2105520,"$2,210,640 ","$2,316,240 ","$4,171,548 ",,,1st Round Pick,"$4,316,160 "
335,Torrey Craig\craigto01,DEN,2100000,,,,,,Cap Space,"$2,100,000 "
336,Moritz Wagner\wagnemo01,WAS,2063520,"$2,161,920 ","$3,893,618 ",,,,1st Round Pick,"$4,225,440 "
337,Dylan Windler\windldy01,CLE,2035800,"$2,137,440 ","$2,239,200 ","$4,037,278 ",,,1st Round Pick,"$4,173,240 "
