Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
415,Isaac Bonga\bongais01,WAS,1416852,"$1,663,861 ",,,,,Cap Space,"$1,416,852 "
416,Chimezie Metu\metuch01,SAS,1416852,"$1,663,861 ",,,,,MLE,"$1,416,852 "
417,Jevon Carter\carteje01,PHO,1416852,,,,,,MInimum Salary,"$1,416,852 "
418,Elie Okobo\okoboel01,PHO,1416852,"$1,663,861 ","$1,802,057 ",,,,Cap Space,"$1,416,852 "
419,Melvin Frazier\frazime01,ORL,1416852,"$1,663,861 ",,,,,MLE,"$1,416,852 "
420,Deonte Burton\burtode02,OKC,1416852,"$1,663,861 ",,,,,Minimum Salary,"$1,416,852 "
421,Hamidou Diallo\diallha01,OKC,1416852,"$1,663,861 ",,,,,MLE,"$1,416,852 "
422,Kenrich Williams\willike04,NOP,1416852,,,,,,Minimum Salary,"$1,416,852 "
423,Jarred Vanderbilt\vandeja01,MIN,1416852,"$1,663,861 ",,,,,Cap Space,"$1,416,852 "
424,Duncan Robinson\robindu01,MIA,1416852,"$1,663,861 ",,,,,MLE,"$1,416,852 "
425,Kendrick Nunn\nunnke01,MIA,1416852,"$1,663,861 ",,,,,Minimum Salary,"$1,416,852 "
426,De'Anthony Melton\meltode01,MEM,1416852,,,,,,Cap Space,"$1,416,852 "
427,Alize Johnson\johnsal02,IND,1416852,,,,,,Minimum Salary,"$1,416,852 "
428,Isaiah Hartenstein\harteis01,HOU,1416852,,,,,,,"$1,416,852 "
429,Sviatoslav Mykhailiuk\mykhasv01,DET,1416852,"$1,663,861 ",,,,,Cap Space,"$1,416,852 "
430,Bruce Brown\brownbr01,DET,1416852,"$1,663,861 ",,,,,MLE,"$1,416,852 "
431,Keita Bates-Diop\bateske01,DEN,1416852,"$1,663,861 ",,,,,MLE,"$1,416,852 "
432,Devonte' Graham\grahade01,CHO,1416852,"$1,663,861 ",,,,,MLE,"$1,416,852 "
433,Jalen Brunson\brunsja01,DAL,1416582,"$1,663,861 ","$1,802,057 ",,,,Cap Space,"$3,080,443 "
434,Bruno Fernando\fernabr01,ATL,1400000,"$1,517,981 ","$1,782,621 ",,,,Cap space,"$4,700,602 "
435,Jaylen Nowell\nowelja01,MIN,1400000,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$1,400,000 "
436,Alfonzo McKinnie\mckinal01,CLE,1361046,"$1,762,796 ","$1,910,860 ","$2,165,298 ",,,MLE,"$2,253,031 "
437,Kevin Porter\porteke02,CLE,1290960,"$2,033,160 ","$2,130,240 ","$3,845,083 ",,,1st Round Pick,"$3,324,120 "
438,Carsen Edwards\edwarca01,BOS,1228026,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Cap space,"$4,528,628 "
439,Cody Martin\martico01,CHO,1173310,"$1,517,981 ","$1,782,621 ",,,,MLE,"$4,473,912 "
440,Gary Payton\paytoga02,WAS,1090781,,,,,,Minimum Salary,"$1,090,781 "
441,George Hill\hillge01,MIL,1000000,,,,,,,"$21,000,000 "
442,Terance Mann\mannte01,LAC,1000000,"$1,517,984 ","$1,782,621 ","$1,930,681 ",,,Minimum Salary,"$2,517,984 "
443,Jonathon Simmons\simmojo02,WAS,1000000,,,,,,,"$1,000,000 "
444,Justin Hamilton\hamilju01,TOR,1000000,,,,,,,"$1,000,000 "
445,Kyle Singler\singlky01,OKC,999200,"$999,200 ","$999,200 ","$999,200 ",,,,"$3,996,800 "
446,Marvin Williams\willima02,MIL,956349,,,,,,Minimum Salary,"$956,349 "
447,David Nwaba\nwabada01,HOU,903111,"$1,862,250 ",,,,,MLE,"$903,111 "
448,Admiral Schofield\schofad01,WAS,898310,"$1,517,981 ","$1,782,621 ",,,,MLE,"$4,198,912 "
449,KZ Okpala\okpalkz01,MIA,898310,"$1,517,981 ","$1,782,621 ",,,,MLE,"$4,198,912 "
