,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
467,Isaiah Thomas\thomais02,PG,30,WAS,40,37,925,6.8,16.6,0.408,3,7.4,0.413,3.7,9.2,0.405,2.4,3,0.816,0.4,2.2,2.6,5.7,0.5,0.2,3,3,19
468,Khyri Thomas\thomakh01,SG,23,DET,8,0,61,3,10,0.294,3,8.3,0.357,0,1.8,0,1.2,2.4,0.5,0.6,0,0.6,1.8,1.8,0,1.8,5.3,10
469,Lance Thomas\thomala01,SF,31,BRK,7,4,98,2.9,8.4,0.348,1.5,4.8,0.308,1.5,3.7,0.4,1.5,1.5,1,0.7,4,4.8,2.2,0,0,2.2,4,8.8
470,Matt Thomas\thomama02,SG,25,TOR,41,1,440,6,12.3,0.487,3.8,8.1,0.475,2.1,4.2,0.51,0.7,1,0.75,0.7,4.3,5,1.8,0.8,0.1,1.3,3.1,16.5
471,Tristan Thompson\thomptr01,C,28,CLE,57,51,1721,6,11.8,0.512,0.2,0.5,0.391,5.8,11.3,0.518,2.1,3.4,0.615,4.7,7.3,12.1,2.5,0.7,1,2.2,2.6,14.3
472,Sindarius Thornwell\thornsi01,SG,25,NOP,2,0,35,6.2,11.3,0.545,2.1,4.1,0.5,4.1,7.2,0.571,2.1,4.1,0.5,0,4.1,4.1,4.1,1,1,2.1,2.1,16.5
473,Matisse Thybulle\thybuma01,SG,22,PHI,65,14,1287,3.1,7.4,0.423,1.6,4.4,0.357,1.6,3,0.519,0.7,1.1,0.61,1.2,1.8,3,2.2,2.6,1.3,1.4,3.9,8.5
474,Anthony Tolliver\tollian01,PF,34,TOT,55,13,872,2.7,7.5,0.357,2,6,0.338,0.7,1.5,0.432,0.9,1.2,0.724,1.4,5,6.4,1.7,0.8,0.5,1.4,3.1,8.3
474,Anthony Tolliver\tollian01,PF,34,POR,33,9,554,2.8,7.6,0.368,1.9,5.8,0.337,0.8,1.8,0.464,0.8,1.2,0.684,1.8,5.4,7.1,1.9,0.5,0.6,1.4,3.5,8.4
474,Anthony Tolliver\tollian01,PF,34,SAC,9,0,82,1.3,7.5,0.176,0.9,6.6,0.133,0.4,0.9,0.5,0.4,0.9,0.5,0.9,4,4.8,1.3,1.8,0.4,1.8,2.6,4
474,Anthony Tolliver\tollian01,PF,34,MEM,13,4,236,2.9,7.3,0.396,2.6,6.3,0.415,0.3,1.1,0.286,1.1,1.2,0.875,0.8,4.3,5,1.5,1.1,0.2,1.4,2.1,9.5
475,Juan Toscano-Anderson\toscaju01,SF,26,GSW,13,6,272,3.8,8.3,0.46,1.1,3,0.348,2.8,5.3,0.525,0.4,0.7,0.6,1.2,5.7,6.9,3.4,1.7,0.7,2.1,4,9.1
476,Karl-Anthony Towns\townska01,C,24,MIN,35,35,1187,9.6,18.9,0.508,3.5,8.4,0.412,6.1,10.5,0.586,5.5,6.9,0.796,2.9,8.6,11.5,4.6,1,1.3,3.3,3.5,28.1
477,Gary Trent Jr.\trentga02,SG,21,POR,61,8,1332,5.3,11.9,0.444,3,7.2,0.418,2.3,4.7,0.486,1,1.2,0.822,0.7,2,2.7,1.6,1.3,0.4,0.6,2.4,14.6
478,Allonzo Trier\trieral01,PG,24,NYK,24,1,291,6.3,13.1,0.481,2.4,6.6,0.358,4,6.6,0.604,4.2,5.3,0.791,0.7,2.8,3.6,3.5,0.4,0.5,2.7,3.6,19.2
479,P.J. Tucker\tuckepj01,PF,34,HOU,72,72,2467,2.6,6.2,0.415,1.6,4.4,0.358,1,1.9,0.551,0.6,0.7,0.813,1.6,5.3,6.9,1.7,1.1,0.5,1.1,3.3,7.3
480,Rayjon Tucker\tuckera01,SG,22,UTA,20,0,161,4.5,9.6,0.465,0.7,3.8,0.176,3.8,5.8,0.654,4.2,5.1,0.826,0.7,3.8,4.5,1.1,0.2,0.2,1.8,2.2,13.9
481,Evan Turner\turneev01,PG,31,ATL,19,0,251,3.6,9.6,0.373,0,0.7,0,3.6,8.9,0.403,1.7,2,0.857,1.1,4.3,5.5,5.5,1.3,1.1,3.7,2.9,8.9
482,Myles Turner\turnemy01,C,23,IND,62,62,1826,5.3,11.6,0.457,1.7,4.9,0.344,3.6,6.6,0.54,2.5,3.3,0.751,1.7,6.3,8,1.4,0.9,2.6,1.7,3.3,14.8
483,Jarrod Uthoff\uthofja01,SF,26,TOT,7,0,53,4.8,12.2,0.389,2,6.1,0.333,2.7,6.1,0.444,1.4,1.4,1,1.4,2.7,4.1,0,0.7,0,0,1.4,12.9
483,Jarrod Uthoff\uthofja01,SF,26,MEM,4,0,14,2.6,18,0.143,0,10.3,0,2.6,7.7,0.333,5.1,5.1,1,2.6,0,2.6,0,2.6,0,0,2.6,10.3
483,Jarrod Uthoff\uthofja01,SF,26,WAS,3,0,39,5.5,10.2,0.545,2.8,4.6,0.6,2.8,5.5,0.5,0,0,,0.9,3.7,4.6,0,0,0,0,0.9,13.8
484,Jonas Valančiūnas\valanjo01,C,27,MEM,70,70,1845,8.4,14.4,0.585,0.6,1.8,0.352,7.8,12.6,0.617,2.9,3.9,0.74,4.2,11.2,15.4,2.6,0.6,1.5,2.5,3.6,20.4
485,Denzel Valentine\valende01,SF,26,CHI,36,5,488,7.2,17.5,0.409,3.4,10.1,0.336,3.8,7.4,0.51,0.4,0.6,0.75,0.7,4.8,5.5,3.2,1.9,0.4,1.9,3.8,18.1
486,Jarred Vanderbilt\vandeja01,SF-PF,20,TOT,11,0,46,3.9,6.3,0.625,0,0.8,0,3.9,5.5,0.714,1.6,1.6,1,2.3,4.7,7,1.6,2.3,0.8,5.5,4.7,9.4
486,Jarred Vanderbilt\vandeja01,SF,20,DEN,9,0,41,4.4,6.1,0.714,0,0,,4.4,6.1,0.714,0,0,,2.6,4.4,7,1.8,2.6,0.9,6.1,5.3,8.8
486,Jarred Vanderbilt\vandeja01,PF,20,MIN,2,0,5,0,7.2,0,0,7.2,0,0,0,,14.4,14.4,1,0,7.2,7.2,0,0,0,0,0,14.4
487,Fred VanVleet\vanvlfr01,PG,25,TOR,54,54,1928,6,14.4,0.413,2.7,7,0.39,3.2,7.5,0.434,3.1,3.7,0.848,0.3,3.5,3.8,6.7,1.9,0.3,2.3,2.5,17.8
488,Gabe Vincent\vincega01,PG,23,MIA,9,0,83,3.5,16,0.216,2.6,11.7,0.222,0.9,4.3,0.2,0,0,,0,2.2,2.2,2.6,2.2,0,0.4,2.6,9.5
489,Noah Vonleh\vonleno01,C-PF,24,TOT,36,1,377,5,8.8,0.565,0.3,1.4,0.2,4.7,7.4,0.636,2.4,3.1,0.781,3.5,8.3,11.8,2.7,1.1,0.6,2,3.8,12.6
489,Noah Vonleh\vonleno01,C,24,MIN,29,1,347,4.9,8.9,0.547,0.2,1.5,0.143,4.7,7.5,0.625,2.4,2.9,0.821,3.5,8.5,12,2.7,1.1,0.6,2,3.7,12.3
489,Noah Vonleh\vonleno01,PF,24,DEN,7,0,30,6,7.2,0.833,1.2,1.2,1,4.8,6,0.8,2.4,4.8,0.5,3.6,6,9.6,2.4,0,0,2.4,4.8,15.6
490,Nikola Vučević\vucevni01,C,29,ORL,62,62,1998,8.9,18.6,0.477,1.8,5.2,0.339,7.1,13.4,0.531,2.4,3,0.784,2.5,9.6,12.1,4,1,0.8,1.6,2.4,21.9
491,Dean Wade\wadede01,PF,23,CLE,12,0,71,4.6,6.6,0.692,1,2,0.5,3.5,4.6,0.778,0,0.5,0,1.5,8.1,9.6,1,1,2,1.5,4.1,10.1
492,Moritz Wagner\wagnemo01,C,22,WAS,45,5,835,6.3,11.5,0.545,1.1,3.4,0.313,5.2,8,0.645,3.4,4.1,0.821,2.4,7,9.4,2.4,1.2,0.8,2.8,6.6,16.9
493,Dion Waiters\waitedi01,SG,28,TOT,10,0,207,7.1,17.2,0.414,2.6,8.2,0.319,4.5,9,0.5,2.4,3,0.824,0.3,3.8,4.2,3.5,0.7,1,2.8,3.7,19.3
493,Dion Waiters\waitedi01,SG,28,MIA,3,0,42,8.6,22.3,0.385,6.9,14.6,0.471,1.7,7.7,0.222,0,0.9,0,0,9.4,9.4,2.6,0,1.7,2.6,4.3,24
